portuguese,hebrew,part_of_speech,explaination,,,,
indiv?duo,איש,שם עצם,,,,,
indiv?duo,אינדבידואל,שם עצם,,,,,
industrial,תעשייתי,שם תואר,,,,,
Infantil,"ילדותי, של ילדים",שם תואר,,,,,
Influ?ncia,השפעה,שם עצם,,,,,
Inglaterra,אנגליה,שם עצם,,,,,
Iniciar,להתחיל,פועל,,,,,
Iniciativa,יוזמה,שם עצם,,,,,
in?cio,התחלה,שם עצם,,,,,
inimigo,אויב,שם עצם,,,,,
inseto,חרק,שם עצם,,,,,
instante,רגע,שם עצם,,,,,
institui??o,מוסד,שם עצם,,,,,
Instituto,מכון,שם עצם,,,,,
Instru??es,הוראות,שם עצם,,,,,
Integrantes,חברים בקבוצה,שם עצם,,,,,
Intelectual,אינטלקטואל,שם תואר,,,,,
Intelig?ncia,איטליגנציה,שם עצם,,,,,
Inten??o,כוונה,שם עצם,,,,,
Intensidade,אינטנסיביות,שם עצם,,,,,
Interc?mbio,חילופי סטודנטים,שם עצם,,,,,
Interessante,מעניין,שם תואר,,,,,
interesse,עניין,שם עצם,,,,,
Interior,פנים,שם עצם,,,,,
Internacional,בינלאומי,שם תואר,,,,,
Introdu??o,מבוא,שם עצם,,,,,
inverno,חורף,שם עצם,,,,,
ir,ללכת,פועל,,,,,
irm?,אחות,שם עצם,,,,,
irm?o,אח,שם עצם,,,,,
isso,הדבר ההוא,אחר,,,,,
isto,הדבר הזה,אחר,,,,,
It?lia,איטליה,שם עצם,,,,,
Italiano,איטלקי,שם תואר,,,,,
Italiano,איטלקית (שפה),שם עצם,,,,,
janeiro,ינואר,שם עצם,,,,,
janela,חלון,שם עצם,,,,,
jantar,ארוחת ערב,שם עצם,,,,,
jardim,גינה,שם עצם,,,,,
joelho,ברך,שם עצם,,,,,
Jogador,שחקן,שם עצם,,,,,
jornal,עיתון,שם עצם,,,,,
jornalista,עיתונאי,שם עצם,,,,,
jovem,צעיר,שם תואר,,,,,
juiz,שופט,שם עצם,,,,,
julgar,לשפוט,פועל,,,,,
julho,יולי,שם עצם,,,,,
junho,יוני,שם עצם,,,,,
juntar,לאסוף,פועל,,,,,
juntos,ביחד,שם תואר,,,,,
Justo,צמוד,שם תואר,,,,,
Justo,הוגן,שם תואר,,,,,
l?,שם,אחר,,,,,
Lado,צד,שם עצם,,,,,
lampada,נורה,שם עצם,,,,,
lan?ar,לחנוך,פועל,,,,,
lanche,חטיף,שם עצם,,,,,
L?pis,עיפרון,שם עצם,,,,,
lar,בית,שם עצם,,,,,
Largo,גדול,שם תואר,,,,,
Largo,רחב,שם תואר,,,,,
lata,פחית,שם עצם,,,,,
lavar,לשטוף,פועל,,,,,
Lazer,פנאי,שם עצם,,,,,
le?o,אריה,שם עצם,,,,,
Legal,"סבבה, ""קול""",שם תואר,,,,,
leite,חלב,שם עצם,,,,,
leitor,קורא,שם עצם,,,,,
Leitura,קריאה,שם עצם,,,,,
len?ol,מצעים,שם עצם,,,,,
ler,לקרוא,פועל,,,,,
Leste,מזרח,שם עצם,,,,,
levar,לקחת,פועל,,,,,
Liberal,ליברלי,שם תואר,,,,,
liberdade,חופש,שם עצם,,,,,
Li??o,שיעור,שם עצם,,,,,
licen?a,היתר,שם עצם,,,,,
licen?a,רישיון,שם עצם,,,,,
ligar,להתקשר,פועל,,,,,
limpar,לנקות,פועל,,,,,
limpo,נקי,שם תואר,,,,,
lindo,יפה,שם תואר,,,,,
L?ngua,שפה,שם עצם,,,,,
litro,ליטר,שם עצם,,,,,
livraria,חנות ספרים,שם עצם,,,,,
Livre,חופשי,שם תואר,,,,,
livro,ספר,שם עצם,,,,,
lobo,זאב,שם עצם,,,,,
local,מקום,שם עצם,,,,,
localidade,מקום,שם עצם,,,,,
L?gico,הגיוני,שם תואר,,,,,
Longo,ארוך,שם תואר,,,,,
lote,שטח,שם עצם,,,,,
lufa lufa,האפלפף,שם עצם,בהוגוורטס,,,,
lugar,מקום,שם עצם,,,,,
lustre,מנורה (תלויה),שם עצם,,,,,
Luta,לחימה,שם עצם,,,,,
luva,כפפה,שם עצם,,,,,
luz,אור,שם עצם,,,,,
machucar,לפגוע,פועל,,,,,
Macio,רך,שם תואר,,,,,
m?e,אמא,שם עצם,,,,,
maestro,מנצח,שם עצם,,,,,
maio,מאי,שם עצם,,,,,
manh?,בוקר,שם עצם,,,,,
manteiga,חמאה,שם עצם,,,,,
manter,לשמור,פועל,,,,,
m?o,יד,שם עצם,,,,,
mapa,מפה,שם עצם,,,,,
m?quina,מכונה,שם עצם,,,,,
Maravilhosa,נהדרת,שם תואר,,,,,
marco,נקודת ציון,שם עצם,,,,,
mar?o,מרץ,שם עצם,,,,,
Margem,שוליים,שם עצם,,,,,
marido,בעל,שם עצם,,,,,
mau,רע,שם תואר,,,,,
mau com,רע אל...,אחר,,,,,
M?ximo,מקסימלי,שם תואר,,,,,
m?dia,ממוצע,שם עצם,,,,,
medica,רופא,שם עצם,,,,,
Medida,מידה,שם עצם,,,,,
medir,למדוד,פועל,,,,,
medo,פחד,שם עצם,,,,,
meias,גרביים,שם עצם,,,,,
meio,אמצעי,שם עצם,,,,,
melhorar,לשפר,פועל,,,,,
Membro,חבר (ב),שם עצם,,,,,
menina,ילדה,שם עצם,,,,,
menino,ילד,שם עצם,,,,,
Mensal,חודשי,שם תואר,,,,,
Mente,מוח,שם עצם,,,,,
mentir,לשקר,פועל,,,,,
mercado,שוק,שם עצם,,,,,
m?s,חודש,שם עצם,,,,,
mesmo,באמת,אחר,,,,,
mesmo,זהה,שם תואר,,,,,
mesmo,אפילו,אחר,,,,,
metro,מטר,שם עצם,,,,,
Metr?,רכבת תחתית,שם עצם,,,,,
Mexicano,מקסיקני,שם תואר,,,,,
M?xico,מקסיקו,שם עצם,,,,,
militar,צבאי,שם תואר,,,,,
M?nimo,מינימלי,שם תואר,,,,,
minuto,דקה,שם עצם,,,,,
Miss?o,משימה,שם עצם,,,,,
modelo,דוגמן,שם עצם,,,,,
Moderno,מודרני,שם תואר,,,,,
moeda,מטבע,שם עצם,,,,,
molho,רוטב,שם עצם,,,,,
momento,רגע,שם עצם,,,,,
montar,"להרכיב, לרכב (על)",פועל,,,,,
monte,גבעה,שם עצם,,,,,
morar,לגור,פועל,,,,,
moreno,כהה שיער,שם תואר,,,,,
Morno,פושר,שם תואר,,,,,
mostrar,להראות,פועל,,,,,
Motivo,סיבה,שם עצם,,,,,
moto,אופנוע,שם עצם,,,,,
motor,מנוע,שם עצם,,,,,
motorista,נהג,שם עצם,,,,,
movel,רהיט,שם עצם,,,,,
mover,להזיז,פועל,,,,,
mudar,לשנות,פועל,,,,,
muito,מאוד,אחר,אחרי פועל,,,,
muito,הרבה,שם תואר,לפני שם עצם. בהטייה: muito \ muita \ muitos \ muitas,,,,
mulher,אישה,שם עצם,,,,,
M?ltiplo,רב,שם תואר,,,,,
mundial,עולמי,שם תואר,,,,,
munic?pio,עירייה,שם עצם,,,,,
muro,קיר,שם עצם,,,,,
museu,מוזיאון,שם עצם,,,,,
Na??o,לאום,שם עצם,,,,,
nacional,בינלאומי,שם תואר,,,,,
namorada,חברה,שם עצם,,,,,
namorada,בת זוג,שם עצם,,,,,
namorado,חבר,שם עצם,,,,,
namorado,בן זוג,שם עצם,,,,,
nariz,אף,שם עצם,,,,,
nascimento,הולדת,שם עצם,,,,,
natural,טבעי,שם תואר,,,,,
Navega??o,ניווט,שם עצם,,,,,
Negativo,שלילי,שם תואר,,,,,
Nervoso,עצבני,שם תואר,,,,,
neta,נכדה,שם עצם,,,,,
neto,נכד,שם עצם,,,,,
N?vel,שלב,שם עצם,,,,,
no total,"בסה""כ",אחר,,,,,
noiva,כלה,שם עצם,,,,,
nome,שם,שם עצם,,,,,
Norte,צפון,שם עצם,,,,,
Norte americano,צפון אמריקאי,שם תואר,,,,,
nos mesmos,עצמנו,שם תואר,,,,,
Nossa frente,לפנינו,אחר,,,,,
nota,ציון,שם עצם,,,,,
nota,חשבון,שם עצם,,,,,
novembro,נובמבר,שם עצם,,,,,
novo,חדש,שם תואר,,,,,
objeto,חפץ,שם עצם,,,,,
observar,לצפות,פועל,,,,,
Obter,להשיג,פועל,,,,,
?culos,משקפיים,שם עצם,,,,,
ocupa?ao,מקצוע,שם עצם,,,,,
?dio,שנאה,שם עצם,,,,,
Oeste,מערב,שם עצם,,,,,
oferecer,להציע,פועל,,,,,
official,פקיד,שם עצם,,,,,
?leo,שמן,שם עצם,,,,,
olhar,להתסכל,פועל,,,,,
olho,עין,שם עצם,,,,,
ombro,כתף,שם עצם,,,,,
?nibus,אוטובוס,שם עצם,,,,,
orelha,אוזן,שם עצם,,,,,
Orienta??o,הכוונה,שם עצם,,,,,
Orienta??o,הדרכה,שם עצם,,,,,
Original,מקורי,שם תואר,,,,,
?timo,נהדר,שם תואר,,,,,
ouro,זהב,שם עצם,,,,,
outono,סתיו,שם עצם,,,,,
outubro,אוקטובר,שם עצם,,,,,
ouvir,לשמוע,פועל,,,,,
pagar,לשלם,פועל,,,,,
p?gina,דף,שם עצם,,,,,
pai,אבא,שם עצם,,,,,
pa?s,מדינה,שם עצם,,,,,
Paix?o,תשוקה,שם עצם,,,,,
pal?cio,ארמון,שם עצם,,,,,
palavra,מילה,שם עצם,,,,,
Palestra,הרצאה,שם עצם,,,,,
p?o,לחם,שם עצם,,,,,
papel,נייר,שם עצם,,,,,
papel,תפקיד,שם עצם,,,,,
Parada,עצירה,שם עצם,,,,,
Parada,הפסקה,שם עצם,,,,,
Par?grafo,פסקה,שם עצם,,,,,
parar,לעצור,פועל,,,,,
parecer,להיראות,פועל,,,,,
parede,קיר,שם עצם,,,,,
parque,פארק,שם עצם,,,,,
Participar,להשתתף,פועל,,,,,
Particular,ייחודי,שם תואר,,,,,
Particular,פרטי,שם תואר,,,,,
Partida,עזיבה,שם עצם,,,,,
partir,לעזוב,פועל,,,,,
Passageiro,נוסע,שם עצם,,,,,
Passaporte,דרכון,שם עצם,,,,,
p?ssaro,ציפור,שם עצם,,,,,
Passatempo,תחביב,שם עצם,,,,,
Passeio,הליכה,שם עצם,,,,,
p?tio,חצר,שם עצם,,,,,
pato,ברווז,שם עצם,,,,,
P?tria,מולדת,שם עצם,,,,,
pausa,הפסקה,שם עצם,,,,,
p?,כף רגל,שם עצם,,,,,
pe?a,חלק,שם עצם,,,,,
pe?a,חתיכה,שם עצם,,,,,
peda?o,חתיכה,שם עצם,,,,,
pedir,לבקש,פועל,,,,,
pegar,לקחת,פועל,,,,,
peito,חזה,שם עצם,,,,,
Pena,רחמים,שם עצם,,,,,
Pena,חסד,שם עצם,,,,,
pensar,לחשוב,פועל,,,,,
pente,מסרק,שם עצם,,,,,
pequeno,קטן,שם תואר,,,,,
Percep??o,תפישה,שם עצם,,,,,
Perdas,חסרונות,שם עצם,,,,,
perder,להפסיד,פועל,,,,,
Perfeito,מושלם,שם תואר,,,,,
pergunta,שאלה,שם עצם,,,,,
perigoso,מסוכן,שם תואר,,,,,
per?odo,פרק זמן,שם עצם,,,,,
perna,רגל,שם עצם,,,,,
Personalidade,אישיות,שם עצם,,,,,
Perspectiva,"פרספקטיבה, נקודת מבט",שם עצם,,,,,
Pesado,כבד,שם תואר,,,,,
pesar,לשקול,פועל,ele pesa 50 quilos - הוא שוקל 50 קילו,,,,
pescador,דייג,שם עצם,,,,,
pesco?o,צוואר,שם עצם,,,,,
pesquisador,חוקר,שם עצם,,,,,
pessoa,איש,שם עצם,,,,,
pessoal,אישי,שם תואר,,,,,
pilha,ערימה,שם עצם,,,,,
pilha,סוללה,שם עצם,,,,,
Piloto,טייס,שם עצם,,,,,
pimenta,פלפל,שם עצם,,,,,
pintora,צייר,שם עצם,,,,,
Pista,רמז,שם עצם,,,,,
Pista,מסלול,שם עצם,,,,,
Pneus,צמיגים,שם עצם,,,,,
pobre,עני,שם תואר,,,,,
pol?cia,משטרה,שם עצם,,,,,
ponta,קצה,שם עצם,,,,,
ponte,גשר,שם עצם,,,,,
popula??o,אוכלוסיה,שם עצם,,,,,
popular,פופולרי,שם תואר,,,,,
Por querer,בכוונה,אחר,,,,,
porco,חזיר,שם עצם,,,,,
porta,דלת,שם עצם,,,,,
portao,שער,שם עצם,,,,,
porta-voz,דובר,שם עצם,,,,,
Positivo,חיובי,שם תואר,,,,,
poss?vel,אפשרי,שם תואר,,,,,
Posto,פוזיציה,שם עצם,,,,,
Posto,עמדה,שם עצם,,,,,
Posto,מצב,שם עצם,,,,,
pouco,מעט,שם תואר,לפני שם עצם. בהטייה: pouco \ pouca \ poucos \ poucas,,,,
povo,אנשים,שם עצם,,,,,
pra?a,כיכר,שם עצם,,,,,
praia,חוף,שם עצם,,,,,
prato,צלחת,שם עצם,,,,,
Prazer,נעים להכיר,אחר,קיצור של: prazer em conhecer,,,,
Prazer,עונג,שם עצם,,,,,
Prazer,הנאה,שם עצם,,,,,
Prazer em conhecer,נעים להכיר,אחר,,,,,
prazo,דדליין,שם עצם,,,,,
preciso,מדויק,שם תואר,,,,,
preferir,להעדיף,פועל,,,,,
Pr?mio,פרס,שם עצם,,,,,
Preocupa??o,דאגה,שם עצם,,,,,
Preocupado,מודאג,שם תואר,,,,,
Preparar,להכין,פועל,,,,,
Pres?n?a,נוכחות,שם עצם,,,,,
presente,מתנה,שם עצם,,,,,
preto,שחור,שם תואר,,,,,
primavera,אביב,שם עצם,,,,,
primeiro,ראשון,שם תואר,,,,,
primo,בן דוד,שם עצם,,,,,
principal,עיקרי,שם תואר,,,,,
principe,נסיך,שם עצם,,,,,
princ?pio,עיקרון,שם עצם,,,,,
princ?pio,התחלה,שם עצם,,,,,
pris?o,כלא,שם עצם,,,,,
Privado,פרטי,שם תואר,,,,,
Problema,בעיה,שם עצם,,,,,
Procurar,לחפש,פועל,,,,,
produzir,לייצר,פועל,,,,,
professor,מורה,שם עצם,,,,,
profiss?o,מקצוע,שם עצם,,,,,
profissional,מקצוען,שם עצם,,,,,
Profundo,עמוק,שם תואר,,,,,
promotor,תובע,שם עצם,,,,,
Propostas,הצעות,שם עצם,,,,,
propriedade,נכס,שם עצם,,,,,
prote??o,הגנה,שם עצם,,,,,
provar,להוכיח,פועל,,,,,
publico,ציבורי,שם תואר,,,,,
Puro,טהור,שם תואר,,,,,
quadrado,מרובע,שם תואר,,,,,
quarta feira,יום רביעי,שם עצם,,,,,
quarto,חדר,שם עצם,,,,,
queimar,לשרוף,פועל,,,,,
quente,חם,שם תואר,,,,,
querer,לרצות,פועל,,,,,
querido,אהוב,שם תואר,,,,,
quilo,קילוגרם,שם עצם,,,,,
quilometro,קילומטר,שם עצם,,,,,
quimico,כימאי,שם עצם,,,,,
quinta feira,יום חמישי,שם עצם,,,,,
Radical,קיצוני,שם תואר,,,,,
rapaz,בחור,שם עצם,,,,,
r?pido,מהיר,שם תואר,,,,,
Raro,נדיר,שם תואר,,,,,
rato,עכבר,שם עצם,,,,,
real,אמיתי,שם תואר,,,,,
Realizar,"להשיג, להצליח",פועל,,,,,
Receber,לקבל,פועל,,,,,
receita,מתכון,שם עצם,,,,,
recente,עדכני,שם תואר,,,,,
Reconhecer,לזהות,פועל,,,,,
Recuperar,"להחלים, להשתקם",פועל,,,,,
Reda??o,כתיבה,שם עצם,,,,,
refei??o,ארוחה,שם עצם,,,,,
reforma,שיפוץ,שם עצם,,,,,
regi?o,איזור,שם עצם,,,,,
regime,דיאטה,שם עצם,,,,,
regime,משטר,שם עצם,,,,,
regional,אזורי,שם תואר,,,,,
Regras,חוקים,שם עצם,,,,,
rei,מלך,שם עצם,,,,,
Rela??o,מערכת יחסים,שם עצם,,,,,
rel?gio,שעון,שם עצם,,,,,
Repetir,לחזור על,פועל,,,,,
representante,נציג,שם עצם,,,,,
resid?ncia,מקום מגורים,שם עצם,,,,,
resist?ncia,התנגדות,שם עצם,,,,,
resist?ncia,אופוזיציה,שם עצם,,,,,
Resolver,לפתור,פועל,,,,,
respeitar,לכבד,פועל,,,,,
responder,לענות,פועל,,,,,
respons?vel,אחראי,שם תואר,,,,,
resposta,תשובה,שם עצם,,,,,
Reuni?o,פגישה,שם עצם,,,,,
revista,מגזין,שם עצם,,,,,
revolu??o,מהפכה,שם עצם,,,,,
Revolucion?rio,מהפכני,שם תואר,,,,,
rico,עשיר,שם תואר,,,,,
rir,לצחוק,פועל,,,,,
Riso,צחוק,שם עצם,,,,,
roda,גלגל,שם עצם,,,,,
Rodovi?ria,תחנת אוטובוס,שם עצם,,,,,
rosa,ורוד,שם תואר,,,,,
Rota,נתיב,שם עצם,,,,,
roubar,לגנוב,פועל,,,,,
roupa,בגד,שם עצם,,,,,
roxo,סגול,שם עצם,,,,,
rua,רחוב,שם עצם,,,,,
Rumo,נתיב,שם עצם,,,,,
Rumo,מסלול,שם עצם,,,,,
Rural,כפרי,שם תואר,,,,,
s?bado,שבת,שם עצם,,,,,
sab?o,סבון,שם עצם,,,,,
saber,לדעת,פועל,,,,,
sacada,מרפסת,שם עצם,,,,,
saia,חצאית,שם עצם,,,,,
Sa?da,יציאה,שם עצם,,,,,
sala,סלון,שם עצם,,,,,
salgado,מלוח,שם תואר,,,,,
Salto,קפיצה,שם עצם,,,,,
salvar,לשמור,פועל,,,,,
sapatos,נעליים,שם עצם,,,,,
Satisfa??o,שביעות רצון,שם עצם,,,,,
Saudade,געגוע,שם עצם,,,,,
seco,יבש,שם תואר,,,,,
secretaria,משרד,שם עצם,,,,,
secrit?rio,מזכיר,שם עצם,,,,,
s?culo,מאה,שם עצם,,,,,
seguir,לעקוב אחרי,פועל,,,,,
segunda feira,יום שני,שם עצם,,,,,
segundo,שניה,שם עצם,,,,,
seguro,בטיחותי,שם תואר,,,,,
semana,שבוע,שם עצם,,,,,
Semanal,שבועי,שם תואר,,,,,
Semestre,סמסטר,שם עצם,,,,,
senhor,אדון,שם עצם,,,,,
senhora,גברת,שם עצם,,,,,
Sensa??o,הרגשה,שם עצם,,,,,
Sensibilidade,רגישות,שם עצם,,,,,
sentar,לשבת,פועל,,,,,
Sentimento,רגש,שם עצם,,,,,
Sentir,להרגיש,פועל,,,,,
ser,להיות,פועל,,,,,
S?rie,כיתה,שם עצם,,,,,
S?rie,סדרה,שם עצם,,,,,
S?rio,רציני,שם תואר,,,,,
Servir,"לשרת, להגיש",פועל,,,,,
Sess?o,ישיבה,שם עצם,,,,,
setembro,ספטמבר,שם עצם,,,,,
sexta feira,יום שישי,שם עצם,,,,,
simples,פשוט,שם תואר,,,,,
Sinal,אות,שם עצם,,,,,
Sinal,סימן,שם עצם,,,,,
sindicato,איחוד,שם עצם,,,,,
Situa??o,סיטואציה,שם עצם,,,,,
sobrenome,שם משפחה,שם עצם,,,,,
sobrinho,אחיין,שם עצם,,,,,
sof?,ספה,שם עצם,,,,,
Sofrer,לסבול,פועל,,,,,
Solid?o,בדידות,שם עצם,,,,,
Solu??o,פתרון,שם עצם,,,,,
Sombra,צל,שם עצם,,,,,
sonhar,לחלום,פועל,,,,,
sonserina,סלית'רין,שם עצם,בהוגוורטס,,,,
Sorriso,חיוך,שם עצם,,,,,
Subir,לעלות,פועל,,,,,
suco,מיץ,שם עצם,,,,,
suficiente,מספיק,שם תואר,,,,,
sujo,מלוכלך,שם תואר,,,,,
Sul,דרום,שם עצם,,,,,
Superior,עליון,שם תואר,,,,,
supermercado,סופר,שם עצם,,,,,
supor,"להניח (ש), לחשוב (ש)",פועל,,,,,
surpresa,הפתעה,שם עצם,,,,,
Surpreso,מופתע,שם תואר,,,,,
Tabela,טבלה,שם עצם,,,,,
Tamanho,גודל,שם תואר,,,,,
tapete,שטיח,שם עצם,,,,,
tarde,אחר צהריים,שם עצם,,,,,
tarde,מאוחר,שם תואר,,,,,
Tarefa,משימה,שם עצם,,,,,
tartaruga,צב,שם עצם,,,,,
T?xi,מונית,שם עצם,,,,,
teatro,תיאטרון,שם עצם,,,,,
teclado,מקלדת,שם עצם,,,,,
tela,מסך,שם עצם,,,,,
tem certeza,בטוח ש,אחר,,,,,
Tema,תמה,שם עצם,,,,,
Tema,נושא,שם עצם,,,,,
tempo,זמן,שם עצם,,,,,
tempo,מזג אוויר,שם עצם,,,,,
temporada,עונה,שם עצם,,,,,
T?nis,נעלי ספורט,שם עצם,,,,,
T?nis,טניס,שם עצם,,,,,
Tens?o,מתח,שם עצם,,,,,
tentar,לנסות,פועל,,,,,
ter,להיות בעל,פועל,ele tem uma mesa - יש לו שולחן,,,,
terca feira,יום שלישי,שם עצם,,,,,
terminar,לסיים,פועל,,,,,
terreno,שטח,שם עצם,,,,,
territ?rio,טריטוריה,שם עצם,,,,,
Teste,מבחן,שם עצם,,,,,
teto,תקרה,שם עצם,,,,,
texto,טקסט,שם עצם,,,,,
tia,דודה,שם עצם,,,,,
tigre,טיגריס,שם עצם,,,,,
Time,קבוצה,שם עצם,,,,,
t?mido,ביישן,שם תואר,,,,,
tio,דוד,שם עצם,,,,,
tirar,"לקחת, להסיר",פועל,,,,,
T?tulo,כותרת,שם עצם,,,,,
toalha,מגבת,שם עצם,,,,,
tocar,לגעת ב...,פועל,הצרכה: em,,,,
tocar,לנגן,פועל,,,,,
Tom,גוון,שם עצם,,,,,
Tom,טון,שם עצם,,,,,
toma banho,מתקלח,שם עצם,,,,,
tomada,שקע,שם עצם,,,,,
tomar,לשתות,פועל,,,,,
Torneio,טורניר,שם עצם,,,,,
trabalhador,עובד,שם עצם,,,,,
trabalhar,לעבוד,פועל,,,,,
Tradi??o,מסורת,שם עצם,,,,,
Tranquilo,רגוע,שם תואר,,,,,
Tr?nsito,תנועה (של כלי רכב),שם עצם,,,,,
Tratar,לטפל,פועל,,,,,
travesserio,כרית,שם עצם,,,,,
trazer,להביא,פועל,,,,,
Treina,מאמן,שם עצם,,,,,
Treinador,מאמן,שם עצם,,,,,
Trem,רכבת,שם עצם,,,,,
tribunal,בית משפט,שם עצם,,,,,
trimestre,שליש,שם עצם,,,,,
triste,עצוב,שם תואר,,,,,
turismo,תיירות,שם עצם,,,,,
Turista,תייר,שם עצם,,,,,
?ltimo,אחרון,שם תואר,,,,,
?mido,לח,שם תואר,,,,,
?mido,רטוב,שם תואר,,,,,
Uni?o,אחדות,שם עצם,,,,,
?nico,יחיד,שם תואר,,,,,
Unidade,יחידה,שם עצם,,,,,
Universal,אוניברסלי,שם תואר,,,,,
universidade,אוניברסיטה,שם עצם,,,,,
Urbano,עירוני,שם תואר,,,,,
urso,דוב,שם עצם,,,,,
usar,"להשתמש, ללבוש",פועל,,,,,
usu?rio,משתמש,שם עצם,,,,,
?til,שימושי,שם תואר,,,,,
vago,ריק,שם תואר,,,,,
vazio,ריק,שם תואר,,,,,
vegetariano,צמחוני,שם תואר,,,,,
ve?culos,כלי רכב,שם עצם,,,,,
velho,זקן,שם תואר,,,,,
vender,למכור,פועל,,,,,
ventilador,מאוורר,שם עצם,,,,,
ver,לראות,פועל,,,,,
ver?o,קיץ,שם עצם,,,,,
verdadeiro,אמיתי,שם תואר,,,,,
verde,ירוק,שם תואר,,,,,
vermelho,אדום,שם תואר,,,,,
Vers?o,גרסה,שם עצם,,,,,
vestido,שמלה,שם עצם,,,,,
vez,פעם,שם עצם,,,,,
vez,תור,שם עצם,,,,,
Viagem,טיול,שם עצם,,,,,
viajar,לטייל,פועל,,,,,
vir,לבוא,פועל,,,,,
virar,להפוך ל...,פועל,,,,,
visitar,לבקר,פועל,,,,,
Vista,נופ,שם עצם,,,,,
Vital,חיוני,שם תואר,,,,,
v?tima,קורבן,שם עצם,,,,,
Vit?ria,ניצחון,שם עצם,,,,,
vizinho,שכן,שם עצם,,,,,
voar,לעוף,פועל,,,,,
voltar,לחזור,פועל,,,,,
vontade,רצון,שם עצם,,,,,
Voo,טיסה,שם עצם,,,,,
x?cara,ספל,שם עצם,,,,,
zona,איזור,שם עצם,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
